name,aum,phone,website,tier
AMUNDI ASSET MANAGEMENT,2240.0,0176333030,,Tier 1
IM GLOBAL PARTNER,43.8,0188407500,www.imgp.com,Tier 1
LAZARD FRERES GESTION,41.5,0144130111,,Tier 1
ROTHSCHILD & CO ASSET MANAGEMENT,37.0,01 40 74 40 74,am.eu.rothschildandco.com,Tier 1
MIROVA,35.0,0178408736,http://www.mirova.com/fr,Tier 1
CARMIGNAC GESTION,33.9,0142865335,www.carmignac.com,Tier 1
GROUPAMA ASSET MANAGEMENT,32.7,0144567676,,Tier 1
BFT INVESTMENT MANAGERS,31.7,0176379090,www.bft-im.com,Tier 1
ARKEA ASSET MANAGEMENT,26.8,09.69.32.88.32,www.arkea-am.com,Tier 1
DNCA FINANCE,26.3,0158625500,www.dnca-investments.com,Tier 1
ELEVA CAPITAL,13.0,01 40 69 28 70,http://www.elevacapital.com,Tier 1
FINANCIERE DE L'ECHIQUIER,9.5,0147239090,www.lfde.com,Tier 1
ECOFI INVESTISSEMENTS,8.2,01 44 88 39 24,www.ecofi.fr,Tier 1
SYCOMORE ASSET MANAGEMENT,7.8,0144401612,www.sycomore-am.com,Tier 1
COVEA FINANCE,7.5,0140065150,www.covea-finance.fr,Tier 1
EIFFEL INVESTMENT GROUP,6.8,0139543567,,Tier 1
ERES GESTION,6.7,01.49.70.98.88,www.eres-gestion.com,Tier 1
MANDARINE GESTION,6.0,0153402020,http://www.mandarine-gestion.com,Tier 1
PALATINE ASSET MANAGEMENT,5.8,0155279606,www.palatine-am.com,Tier 1
ELLIPSIS ASSET MANAGEMENT,4.4,01 78 41 55 00,www.ellipsis-am.com,Tier 1
AURIS GESTION,4.3,0142258340,,Tier 1
AMIRAL GESTION,3.5,0147207818,www.amiralgestion.fr,Tier 1
ANAXIS ASSET MANAGEMENT,2.8,09 73 87 13 21,www.anaxiscapital.com,Tier 1
RICHELIEU INVEST,2.0,0142890000,www.richelieuinvest.com,Tier 1
IVO CAPITAL PARTNERS,1.6,,,Tier 1
TRUSTEAM FINANCE,1.2,0142964030,www.trusteam.fr,Tier 1
